ID	Sex	BirthYear
n1502	NA	2022
n1503	NA	2022
n150	NA	2019
n152	1	2020
n1539	NA	2023
n153	NA	2019
n158	NA	2020
n159	NA	2020
n160	NA	2020
n161	NA	2019
n163	NA	2019
n164	NA	2020
n166	NA	2019
n167	NA	2019
n16	1	2020
n170	NA	2020
n1717	NA	2021
n171	NA	2019
n172	NA	2020
n173	NA	2020
n1745	NA	2023
n174	NA	2020
n175	NA	2019
n176	NA	2020
n177	NA	2020
n178	NA	2020
n179	NA	2019
n17	NA	2020
n180	2	2020
n1815	NA	2021
n181	NA	2019
n1824	NA	2021
n1828	NA	2021
n182	NA	2019
n1838	NA	2022
n183	1	2020
n1844	NA	2020
n1847	NA	2021
n184	NA	2020
n185	NA	2020
n186	2	2020
n1874	NA	2020
n187	1	2020
n1886	NA	2020
n1887	NA	2020
n188	NA	2020
n1897	NA	2020
n189	NA	2019
n18	NA	2020
n191	NA	2020
n193	NA	2020
n194	NA	2019
n195	NA	2018
n196	NA	2020
n197	1	2020
n198	NA	2020
n199	NA	2020
n19	NA	2020
n1	NA	2019
n200	2	2019
n202	NA	2019
n204	NA	2020
n205	NA	2020
n206	NA	2020
n207	NA	2020
n208	NA	2020
n209	NA	2020
n20	NA	2019
n210	NA	2020
n211	NA	2020
n212	NA	2020
n213	NA	2020
n214	NA	2020
n216	NA	2020
n217	NA	2019
n218	NA	2020
n219	NA	2020
n21	NA	2020
n220	NA	2020
n221	NA	2020
n222	NA	2020
n223	NA	2020
n224	NA	2020
n225	NA	2020
n226	NA	2020
n227	1	2020
n229	NA	2020
n22	NA	2020
n230	NA	2020
n231	NA	2020
n232	NA	2020
n233	NA	2020
n234	NA	2019
n235	NA	2020
n236	NA	2020
n237	NA	2020
n238	NA	2020
n239	NA	2020
n23	1	2020
n240	NA	2020
n242	2	2020
n243	NA	2020
n244	NA	2020
n245	NA	2020
n246	2	2020
n248	NA	2020
n249	NA	2020
n24	NA	2020
n250	NA	2020
n252	NA	2020
n253	1	2020
n254	NA	2020
n255	NA	2020
n257	NA	2020
n259	NA	2020
n25	NA	2020
n262	NA	2020
n263	NA	2020
n264	NA	2020
n265	NA	2020
n266	NA	2020
n267	NA	2020
n268	NA	2020
n269	NA	2020
n26	NA	2020
n270	2	2020
n271	NA	2020
n273	NA	2020
n274	NA	2020
n275	NA	2020
n276	NA	2020
n278	NA	2019
n279	1	2020
n27	NA	2020
n280	1	2020
n281	NA	2020
n282	NA	2020
n283	NA	2020
n284	NA	2020
n286	NA	2020
n287	NA	2020
n288	NA	2020
n289	NA	2020
n290	NA	2020
n293	NA	2020
n294	NA	2019
n295	1	2020
n296	NA	2019
n297	NA	2020
n299	NA	2020
n29	NA	2020
n300	NA	2019
n301	NA	2020
n302	NA	2020
n303	NA	2020
n304	NA	2020
n305	NA	2020
n307	NA	2020
n308	NA	2020
n309	NA	2020
n30	NA	2020
n311	NA	2020
n312	1	2020
n313	NA	2020
n314	NA	2020
n315	NA	2020
n316	NA	2019
n317	2	2020
n318	NA	2020
n319	NA	2020
n31	NA	2020
n320	NA	2020
n321	NA	2020
n322	NA	2020
n323	NA	2020
n324	1	2020
n325	NA	2020
n326	NA	2020
n327	NA	2020
n328	NA	2020
n330	NA	2020
n331	NA	2020
n332	NA	2020
n333	1	2020
n334	NA	2019
n335	NA	2020
n337	NA	2020
n338	NA	2018
n33	NA	2020
n341	NA	2019
n342	1	2020
n343	NA	2019
n344	NA	2020
n345	NA	2019
n346	1	2020
n347	NA	2020
n348	NA	2020
n349	1	2020
n34	NA	2020
n350	NA	2020
n352	NA	2020
n353	NA	2020
n354	NA	2020
n355	1	2020
n357	NA	2020
n358	NA	2020
n359	NA	2020
n35	NA	2020
n360	NA	2020
n361	NA	2020
n362	NA	2020
n363	NA	2020
n365	NA	2020
n366	NA	2020
n369	NA	2020
n36	NA	2020
n370	NA	2023
n371	NA	2020
n372	NA	2020
n374	NA	2020
n375	NA	2020
n376	NA	2020
n377	NA	2020
n378	NA	2020
n379	NA	2019
n37	NA	2019
n380	NA	2020
n381	NA	2020
n382	NA	2020
n384	NA	2020
n386	1	2020
n387	NA	2020
n388	NA	2020
n389	1	2020
n38	NA	2020
n390	NA	2019
n391	NA	2020
n392	NA	2020
n393	2	2020
n394	NA	2020
n395	NA	2020
n397	NA	2018
n398	2	2020
n39	NA	2020
n3	NA	2020
n400	NA	2020
n401	2	2020
n402	NA	2020
n404	NA	2020
n405	NA	2020
n406	2	2020
n407	1	2020
n408	NA	2020
n409	NA	2020
n40	NA	2020
n410	NA	2020
n412	NA	2019
n413	2	2019
n414	2	2020
n415	NA	2020
n417	NA	2020
n418	NA	2020
n41	NA	2020
n420	NA	2020
n421	NA	2019
n422	NA	2020
n423	NA	2020
n425	NA	2019
n427	NA	2020
n429	NA	2020
n42	NA	2020
n430	NA	2020
n431	NA	2020
n435	NA	2020
n437	NA	2020
n438	NA	2020
n439	NA	2020
n43	NA	2020
n440	NA	2023
n442	NA	2023
n443	NA	2020
n444	NA	2020
n445	NA	2020
n446	NA	2020
n447	NA	2019
n449	NA	2020
n450	NA	2019
n451	NA	2020
n452	NA	2020
n454	NA	2020
n455	NA	2020
n457	NA	2020
n459	NA	2019
n45	1	2020
n460	NA	2023
n467	NA	2023
n468	NA	2023
n46	NA	2020
n473	NA	2020
n475	NA	2023
n476	NA	2023
n477	NA	2023
n47	NA	2020
n480	NA	2023
n482	NA	2023
n484	NA	2023
n486	NA	2023
n489	NA	2023
n48	NA	2020
n492	NA	2023
n493	NA	2023
n494	NA	2023
n495	NA	2023
n498	NA	2023
n49	NA	2020
n4	NA	2020
n502	NA	2023
n503	NA	2023
n505	NA	2023
n506	NA	2023
n50	NA	2020
n511	NA	2023
n512	NA	2023
n517	NA	2023
n51	NA	2020
n521	NA	2023
n522	NA	2020
n523	NA	2020
n525	NA	2023
n526	NA	2020
n527	NA	2023
n529	NA	2020
n52	NA	2020
n531	NA	2020
n532	NA	2021
n535	NA	2023
n536	NA	2021
n537	NA	2019
n538	NA	2020
n539	NA	2021
n53	2	2018
n540	NA	2021
n541	NA	2020
n542	NA	2021
n546	NA	2021
n547	NA	2021
n548	NA	2021
n549	NA	2021
n54	NA	2020
n550	NA	2021
n551	NA	2021
n553	1	2021
n554	NA	2020
n556	NA	2021
n557	NA	2021
n558	NA	2021
n559	NA	2021
n55	NA	2020
n560	NA	2021
n561	NA	2021
n562	NA	2021
n563	NA	2021
n565	NA	2020
n566	NA	2021
n568	NA	2021
n569	1	2020
n56	NA	2020
n570	NA	2021
n571	NA	2020
n572	NA	2020
n573	NA	2021
n574	NA	2021
n575	NA	2021
n576	NA	2021
n577	1	2021
n578	NA	2021
n579	NA	2021
n57	NA	2020
n580	NA	2021
n581	NA	2021
n582	NA	2020
n583	NA	2021
n584	NA	2020
n585	NA	2021
n586	NA	2020
n587	NA	2021
n588	NA	2021
n589	NA	2020
n58	NA	2020
n590	NA	2021
n591	NA	2020
n592	NA	2021
n593	NA	2021
n594	2	2021
n595	NA	2021
n596	NA	2021
n597	NA	2021
n598	NA	2021
